month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202103,45019,"charleston, sc",715000,0.0273,0.26,841,-0.1514,-0.6974,57.5,-0.233333333,-0.178571429,520,0.0833,-0.4628,80,0.3333,0,224,-0.0175,-0.6667,1437,0.0406,0.2442,391.1486158,0.0463,0.4692,2071,0.0273,-0.0329,1282861.222,0.0916,0.4576,2278,-0.0396,-0.4209,1.708680143,0.3151,1.2931
202103,20155,"reno, ks",109950,0.1289,0.0582,43,-0.14,-0.7943,50.5,-0.31292517,-0.360759494,40,0.4286,-0.3333,0,,,8,-0.3333,-0.8333,93,0.1772,-0.1389,76.6217208,0.0205,0.1542,1762,0.1468,0.0411,246318.7608,0.4777,0.5222,136,0.0543,-0.571,2.162790698,0.5828,1.646
202103,49049,"utah, ut",524450,-0.0237,0.2127,336,0.12,-0.7602,8,-0.58974359,-0.835051546,700,0.5086,-0.1667,44,-0.1538,-0.8,56,0.0769,-0.8205,2464,0.0228,0.0869,197.2297577,0.0854,0.3861,2929,-0.0921,-0.1167,1145883.15,-0.0618,1.0252,2800,0.0336,-0.2366,7.333333333,-0.6967,5.7152
202103,37171,"surry, nc",325000,0.0417,0.6258,57,-0.0339,-0.5512,58,-0.337142857,-0.398963731,20,-0.375,-0.5455,0,,,16,1,-0.4286,77,-0.061,0.7907,0,,,0,,,431359.2109,0.0523,0.5267,134,-0.0496,-0.2118,1.350877193,-0.039,1.0123
202103,6037,"los angeles, ca",1199000,0,0.2497,10350,-0.0133,-0.113,62,-0.220125786,0.087719298,6724,0.081,0.2452,200,-0.2647,-0.1071,1144,-0.0403,-0.3075,11436,0.0853,0.1767,652.0909091,0.0141,0.1952,1877,0.0054,0.0016,2950298.09,0.0048,0.2245,21786,0.0361,0.0186,1.104927536,0.1004,0.272
202103,36065,"oneida, ny",199900,0.0527,0.2612,453,-0.0403,0.2514,167.5,0.200716846,0.675,116,0.45,0.0741,0,,-1,40,0.6667,-0.4444,915,-0.0033,1.4142,110.6919643,0.0212,0.0996,1732,0.0135,0.0331,266599.1234,0.044,0.2708,1368,-0.0158,0.8462,2.01986755,0.075,0.9729
202103,26163,"wayne, mi",149949.5,0.0139,0.2246,1921,-0.0264,-0.539,48,-0.238095238,-0.076923077,1496,0.2897,-0.194,76,-0.4412,-0.1739,268,-0.0694,-0.7472,448,0.0067,0.4593,117.9918101,0.0174,0.1983,1310,0.0069,0.0027,281276.785,0.0001,0.2947,2369,-0.0203,-0.4705,0.233211869,0.0077,0.1595
202103,42055,"franklin, pa",254900,-0.0004,0.1112,114,-0.0579,-0.6771,45,-0.0625,-0.361702128,100,0.1905,-0.1935,8,0,0,20,0,-0.6875,240,0.1881,5.4865,110.8565615,-0.051,0.0679,1772,-0.0445,-0.0028,306466.094,0.0023,0.2077,354,0.096,-0.0923,2.105263158,0.4358,2.0004
202103,26159,"van buren, mi",372450,0.1374,0.2427,120,-0.1111,-0.6238,69,-0.295918367,-0.148148148,64,0.2308,-0.2,0,-1,,20,0.25,-0.5833,169,0.2071,0.1497,180.9677025,0.1059,0.0735,2043.5,0.0076,0.0928,586897.5259,0.0937,0.2699,289,0.0509,-0.3798,1.408333333,0.3713,0.9475
202103,37151,"randolph, nc",234950,0.0468,0.2224,74,-0.0864,-0.6337,50,0.136363636,-0.248120301,80,0.5385,-0.2,0,,-1,12,-0.4,-0.8235,225,0.0465,1.1226,0,,,0,,,374122.2558,0.0807,0.5438,299,0.0101,-0.0292,3.040540541,0.3862,2.5158
202103,22057,"lafourche, la",197000,0.0535,0.026,167,0.0245,-0.4415,64.5,-0.418918919,-0.358208955,68,0.5455,0,0,-1,-1,32,0.3333,-0.1111,119,0.1019,0.1019,73.46678744,0.0134,-0.0851,2678,-0.0149,0.0229,246586.8994,-0.0081,-0.0223,286,0.0554,-0.2973,0.71257485,0.05,0.3514
202103,26015,"barry, mi",262500,0.0298,0.1416,32,-0.1111,-0.7037,53.5,-0.137096774,-0.176923077,28,0,-0.4615,0,,,4,-0.5,-0.8333,88,0.0353,0.0233,153.9788131,0.0869,0.2645,2048,0.0642,-0.001,446000.9914,0.0724,0.488,120,-0.0083,-0.3814,2.75,0.3889,1.9537
202103,18127,"porter, in",404350,0.0369,0.3041,87,-0.1792,-0.75,67.5,-0.134615385,0.298076923,60,0,-0.6809,4,0,0,16,0,-0.8182,75,-0.0132,-0.5427,180.3201082,0.0896,0.3339,2100.5,-0.0867,-0.0867,537803.8193,0.0632,0.3492,162,-0.1099,-0.6836,0.862068966,0.1451,0.3908
202103,36091,"saratoga, ny",430850,-0.0111,0.1011,604,-0.0607,-0.4802,86.5,-0.143564356,-0.130653266,236,0.1569,-0.2237,72,-0.0526,3.5,32,-0.1111,-0.7647,870,0.0382,0.1447,212.8908293,-0.0064,0.132,1979,0.0056,-0.0251,529511.5058,-0.0111,0.2169,1474,-0.0047,-0.2331,1.440397351,0.1371,0.7864
202103,36053,"madison, ny",210200,-0.0002,0.0515,96,-0.1429,-0.5152,146.5,0.050179211,0.085185185,44,0.8333,-0.0833,0,,,12,-0.25,-0.5714,159,0.272,0.0325,115.1938163,0.0041,0.1116,1924,0.0378,0.0689,288736.5385,0.0641,0.2474,255,0.0759,-0.2756,1.65625,0.5402,0.8785
202103,41003,"benton, or",445000,0.0082,-0.0481,87,-0.0745,-0.463,52,0.181818182,-0.161290323,72,0.8,-0.0526,4,0,0,12,2,-0.7,140,0.1111,0.4894,241.1884096,0.0268,0.1351,1832.5,-0.0084,-0.2098,590916.574,0.0819,0.0552,227,0.0318,-0.1133,1.609195402,0.2688,1.0289
202103,12033,"escambia, fl",371950,0.1105,0.3528,449,-0.0818,-0.6109,37,-0.367521368,-0.383333333,312,-0.037,-0.3333,112,-0.0667,0,84,-0.125,-0.7375,26,0.1304,0.4444,178.7613727,0.0924,0.3588,1942.5,0.0278,0.0175,610516.4267,0.0738,0.5577,475,-0.0723,-0.5947,0.057906459,0.0109,0.0423
202103,35013,"dona ana, nm",269950,0.0114,0.1487,634,0.0411,-0.1995,42,-0.106382979,-0.263157895,272,0.2593,0.1333,4,-0.9333,0,36,-0.3571,-0.6087,16,0.2308,1.6667,134.034438,0.0069,0.0978,2012.5,-0.0007,0.0035,315058.2551,0.0028,0.0668,650,0.045,-0.1855,0.025236593,0.0039,0.0177
202103,4007,"gila, az",700000,0.4374,0.7995,118,0.0442,-0.6911,31,-0.40952381,-0.607594937,92,0.15,-0.1786,8,,,16,-0.2,-0.5,209,0.1237,0.4315,256.5696879,0.0568,0.3142,2589.5,0.0783,0.274,898117.7702,0.1265,0.7608,327,0.0936,-0.3807,1.771186441,0.1252,1.389
202103,13313,"whitfield, ga",272450,0.0149,0.2931,86,-0.2833,-0.673,42,-0.142857143,-0.288135593,48,-0.2941,-0.4545,0,-1,,28,-0.125,-0.5625,221,0.1755,0.9052,103.7937489,-0.0252,0.1384,1889,-0.0149,0.2444,352296.9316,0.1614,0.3635,307,-0.0032,-0.19,2.569767442,1.0031,2.1287
202103,51059,"fairfax, va",669854,0.0305,-0.1407,1067,0.1046,-0.2795,23.5,-0.276923077,0.068181818,1480,0.5102,-0.0365,80,0,0.8182,176,0.1282,-0.5,1806,0.1644,2.0819,324.1192271,-0.0053,0.1302,1852,0.0514,-0.3036,1257542.682,-0.0514,0.0985,2873,0.1414,0.3899,1.692596064,0.087,1.2969
202103,8059,"jefferson, co",592450,-0.0521,-0.0521,359,0.177,-0.5239,8.5,-0.585365854,-0.696428571,764,0.528,-0.0637,20,-0.1667,0,40,-0.0909,-0.8462,984,0.0391,-0.0277,270.0048006,-0.0205,0.2118,2579,-0.0006,-0.1693,989741.2264,-0.0821,0.2001,1343,0.0727,-0.2395,2.740947075,-0.364,1.3988
202103,19113,"linn, ia",250000,0,0.0991,287,-0.0171,-0.6068,45.5,0.02247191,-0.09,196,0.1395,-0.4494,16,0.3333,1,40,1,-0.8246,587,0.0911,8.0308,133.6369164,0.0208,0.1861,1630.5,0.0015,-0.0346,294791.4573,-0.0144,0.1676,874,0.053,0.0994,2.045296167,0.2028,1.9563
202103,6039,"madera, ca",489950,0.0792,0.4021,236,-0.0042,-0.6483,45,-0.268292683,-0.134615385,204,0.275,-0.2154,12,0,-0.25,44,0.5714,-0.6071,247,-0.0352,0.0601,213.5347961,0.0301,0.1909,2283,0.0731,0.1592,679275.4279,0.0324,0.5162,483,-0.0203,-0.4657,1.046610169,-0.0336,0.6994
202103,16083,"twin falls, id",440000,0.1003,0.5178,58,-0.1714,-0.7532,46,-0.140186916,0.135802469,56,0,-0.5625,4,,0,20,1.5,-0.7059,178,-0.0872,21.25,179.8960671,-0.0377,0.2138,2527,0.0836,0.2088,540665.875,0.0619,0.5553,236,-0.1094,-0.0288,3.068965517,0.2833,3.0349
202103,39109,"miami, oh",226450,-0.0922,-0.103,77,-0.1444,-0.7475,24,-0.603305785,-0.435294118,76,0.0556,-0.5476,0,,,28,-0.125,-0.75,273,0.0623,0.1568,94.86466159,0.1176,-0.0836,1520,-0.0392,-0.1915,265184.707,-0.082,0.0302,350,0.0086,-0.353,3.545454545,0.6899,2.7717
202103,24025,"harford, md",382450,0,0.0616,162,-0.0061,-0.6625,23.5,-0.576576577,-0.44047619,228,0.5,-0.1857,24,0,0.5,20,0,-0.8276,492,0.0626,5.4737,168.8046146,-0.0115,0.1365,2000,0.0449,-0.0792,426425.978,0.0697,0.0867,654,0.0447,0.1763,3.037037037,0.1965,2.8787
202103,21199,"pulaski, ky",247400,0.1756,0.2859,117,-0.2688,-0.6821,70,-0.113924051,-0.014084507,68,0.4167,-0.32,0,,,20,0,-0.6429,122,0.2842,0.4023,103.1599998,0.0177,0.1154,2176,0.0703,0.0937,370503.2284,0.1986,0.4901,239,-0.0627,-0.4747,1.042735043,0.449,0.8063
202103,36029,"erie, ny",289250,0.0917,0.222,538,0.0248,-0.4482,27.5,-0.432989691,-0.495412844,624,0.4444,-0.1086,16,-0.3333,0.3333,60,-0.1176,-0.6875,1335,0.8671,-0.1567,160.5580772,0.0495,0.1931,1734.5,0.0131,0.0084,367704.142,0.0542,0.193,1873,0.5105,-0.2678,2.481412639,1.1195,0.8578
202103,42111,"somerset, pa",189950,0.1947,0.1707,125,-0.1554,-0.664,119,-0.048,-0.229773463,36,-0.25,-0.3571,0,,,16,0.3333,-0.4286,81,0.2857,-0.0357,72.96334451,0.0869,0.0168,1799,0.0626,0.105,303360.8181,0.0602,0.4094,206,-0.0237,-0.5482,0.648,0.2223,0.4222
202103,13179,"liberty, ga",206995,0.0214,0.2183,140,-0.3204,-0.6943,34,-0.055555556,-0.413793103,96,-0.2941,-0.3333,28,-0.3,-0.125,8,-0.7143,-0.875,120,-0.0323,0.9672,104.6352416,0.0218,0.1144,1869.5,0.028,0.0424,260883.9761,0.0865,0.2503,260,-0.2121,-0.499,0.857142857,0.2552,0.724
202103,1113,"russell, al",159950,0,-0.171,94,-0.06,-0.5,38.5,0.166666667,-0.468965517,60,-0.2105,-0.1667,0,,,12,-0.4,-0.4,33,0.4348,15.5,86.15065243,0.0391,-0.0384,1786.5,0.0432,-0.1428,214812.7039,0.0657,-0.044,127,0.0325,-0.3316,0.35106383,0.1211,0.3404
202103,41017,"deschutes, or",662000,-0.0406,0.3793,316,0.026,-0.7044,33.5,-0.141025641,-0.441666667,328,0.2424,-0.344,8,-0.6667,-0.6667,52,0.1818,-0.7937,939,0.0468,0.1826,338.6592502,0.0378,0.3722,2011,-0.0322,-0.0128,991277.1544,0.0693,0.5213,1255,0.0415,-0.3264,2.971518987,0.0592,2.2288
202103,39041,"delaware, oh",477761.5,0.0166,0.0276,156,-0.0311,-0.643,38.5,-0.336206897,-0.114942529,212,0.6563,-0.1311,12,-0.5714,2,16,-0.6,-0.8621,261,0.0567,-0.1894,195.7480887,0.0082,0.2692,2526.5,0.0151,-0.1696,562143.025,0.0003,0.0956,417,0.0221,-0.4506,1.673076923,0.1389,0.9362
